Environment,Speed_kmh,DelayProfile,DelaySpread,NumPaths,DopplerSpread,SNR_dB,BER,SER,PER,Throughput_bps,SpectralEfficiency_bps_per_Hz,Runtime_sec,AvgIterations,ScenarioID,Category,FocusMode,Timestamp
Pedestrian,2,EPA,0,7,0.0273354354150626,0,0.226744791666667,0.385755208333333,1,0,0,0.8148683,2,1,LowMobility,0,2026-08-05 23:09:02
Pedestrian,2,EPA,0,7,0.0312319522439121,5,0.0797135416666667,0.144401041666667,1,0,0,0.4171788,2,1,LowMobility,0,2026-08-05 23:09:03
Pedestrian,2,EPA,0,7,0.0302476229298586,10,0.0721875,0.12921875,0.8,360000,0.375,0.3992798,2,1,LowMobility,0,2026-08-05 23:09:03
Pedestrian,2,EPA,0,7,0.0313363270858584,15,0.00118489583333333,0.00234375,0.3,1260000,1.3125,0.3071318,2,1,LowMobility,0,2026-08-05 23:09:03
Pedestrian,2,EPA,0,7,0.0316266331995314,20,0.00829427083333333,0.0158854166666667,0.2,1440000,1.5,0.3125807,2,1,LowMobility,0,2026-08-05 23:09:04
Pedestrian,2,EPA,0,7,0.0316268027797492,25,0,0,0,1800000,1.875,0.3144029,2,1,LowMobility,0,2026-08-05 23:09:04
Pedestrian,2,EPA,0,7,0.0305104748020825,30,0,0,0,1800000,1.875,0.3221825,2,1,LowMobility,0,2026-08-05 23:09:04
Pedestrian,4,EPA,0,7,0.0615026477371827,0,0.1709375,0.29546875,1,0,0,0.3205709,2,2,LowMobility,0,2026-08-05 23:09:05
Pedestrian,4,EPA,0,7,0.0618084801515248,5,0.15390625,0.271822916666667,1,0,0,0.3212059,2,2,LowMobility,0,2026-08-05 23:09:05
Pedestrian,4,EPA,0,7,0.0630220431523532,10,0.0690755208333333,0.117708333333333,0.7,540000,0.5625,0.3194825,2,2,LowMobility,0,2026-08-05 23:09:05
Pedestrian,4,EPA,0,7,0.0616424895757366,15,0.016875,0.0307552083333333,0.4,1080000,1.125,0.2967266,2,2,LowMobility,0,2026-08-05 23:09:06
Pedestrian,4,EPA,0,7,0.0626776678095666,20,0.0261588541666667,0.04578125,0.3,1260000,1.3125,0.3067891,2,2,LowMobility,0,2026-08-05 23:09:06
Pedestrian,4,EPA,0,7,0.0631619464792658,25,3.90625e-05,7.8125e-05,0.1,1620000,1.6875,0.3123151,2,2,LowMobility,0,2026-08-05 23:09:06
Pedestrian,4,EPA,0,7,0.0631256635578727,30,0,0,0,1800000,1.875,0.3083137,2,2,LowMobility,0,2026-08-05 23:09:07
Pedestrian,0,EPA,0,7,0,0,0.259752604166667,0.443203125,1,0,0,0.2881183,2,3,LowMobility,0,2026-08-05 23:09:07
Pedestrian,0,EPA,0,7,0,5,0.120638020833333,0.206041666666667,1,0,0,0.3180704,2,3,LowMobility,0,2026-08-05 23:09:07
Pedestrian,0,EPA,0,7,0,10,0.0149869791666667,0.0290885416666667,0.6,720000,0.75,0.2959302,2,3,LowMobility,0,2026-08-05 23:09:07
Pedestrian,0,EPA,0,7,0,15,0.0124088541666667,0.0243229166666667,0.5,900000,0.9375,0.2934835,2,3,LowMobility,0,2026-08-05 23:09:08
Pedestrian,0,EPA,0,7,0,20,0.003828125,0.0075,0.2,1440000,1.5,0.2892811,2,3,LowMobility,0,2026-08-05 23:09:08
Pedestrian,0,EPA,0,7,0,25,0,0,0,1800000,1.875,0.2953572,2,3,LowMobility,0,2026-08-05 23:09:08
Pedestrian,0,EPA,0,7,0,30,0,0,0,1800000,1.875,0.2823674,2,3,LowMobility,0,2026-08-05 23:09:09
Pedestrian,2,EPA,0,7,0.0275058855281751,0,0.2494921875,0.427473958333333,1,0,0,0.2897723,2,4,LowMobility,0,2026-08-05 23:09:09
Pedestrian,2,EPA,0,7,0.0316268162724694,5,0.112604166666667,0.202578125,1,0,0,0.3103582,2,4,LowMobility,0,2026-08-05 23:09:09
Pedestrian,2,EPA,0,7,0.0313394996526929,10,0.0469791666666667,0.0879166666666667,0.6,720000,0.75,0.2914086,2,4,LowMobility,0,2026-08-05 23:09:09
Pedestrian,2,EPA,0,7,0.0310097691047377,15,0.0178645833333333,0.033984375,0.6,720000,0.75,0.2956579,2,4,LowMobility,0,2026-08-05 23:09:10
Pedestrian,2,EPA,0,7,0.0311711550013553,20,0,0,0,1800000,1.875,0.2911461,2,4,LowMobility,0,2026-08-05 23:09:10
Pedestrian,2,EPA,0,7,0.0298911839739995,25,0,0,0,1800000,1.875,0.3024264,2,4,LowMobility,0,2026-08-05 23:09:10
Pedestrian,2,EPA,0,7,0.0314965462466052,30,0,0,0,1800000,1.875,0.2950596,2,4,LowMobility,0,2026-08-05 23:09:11
Pedestrian,1,EPA,0,7,0.0151611994630096,0,0.263489583333333,0.443151041666667,1,0,0,0.2830551,2,5,LowMobility,0,2026-08-05 23:09:11
Pedestrian,1,EPA,0,7,0.0155041639229653,5,0.0641796875,0.120625,1,0,0,0.288475,2,5,LowMobility,0,2026-08-05 23:09:11
Pedestrian,1,EPA,0,7,0.0156821112255337,10,0.0335546875,0.0611458333333333,0.7,540000,0.5625,0.2903397,2,5,LowMobility,0,2026-08-05 23:09:12
Pedestrian,1,EPA,0,7,0.0154753534708756,15,0.004140625,0.00807291666666667,0.4,1080000,1.125,0.2869451,2,5,LowMobility,0,2026-08-05 23:09:12
Pedestrian,1,EPA,0,7,0.0153799528281752,20,0.00078125,0.0015625,0.3,1260000,1.3125,0.2770759,2,5,LowMobility,0,2026-08-05 23:09:12
Pedestrian,1,EPA,0,7,0.015551465695167,25,0,0,0,1800000,1.875,0.2986136,2,5,LowMobility,0,2026-08-05 23:09:12
Pedestrian,1,EPA,0,7,0.0157686968156624,30,0.0371223958333333,0.0598958333333333,0.1,1620000,1.6875,0.2943858,2,5,LowMobility,0,2026-08-05 23:09:13
Pedestrian,0,EPA,0,7,0,0,0.206380208333333,0.354270833333333,1,0,0,0.2621242,2,6,LowMobility,0,2026-08-05 23:09:13
Pedestrian,0,EPA,0,7,0,5,0.1124609375,0.200546875,1,0,0,0.2761132,2,6,LowMobility,0,2026-08-05 23:09:13
