channel_profile,waveform,strategy,BER,throughput_bps,CQI,ACS
EPA,ODDM,fixed_oddm,0.01990131578947368,690230.8402585414,13.452631578947368,0.7733606398702517
EPA,ODDM,oracle,0.00041666666666664,359298.2456140352,15.0,0.5950553721276352
EPA,OTFS,ai_adaptive,0.013292214912280694,672631.5789473684,13.56842105263158,0.78528951076538
EPA,OTFS,fixed_otfs,0.013292214912280694,672631.5789473684,13.56842105263158,0.78528951076538
EPA,OTFS,oracle,0.013949652777777773,710000.0,13.533333333333333,0.8095225178816404
ETU,ODDM,fixed_oddm,0.006443067528735617,397585.199610516,12.916666666666666,0.582555358687344
ETU,OTFS,ai_adaptive,0.0033450071839080334,471250.0,13.791666666666666,0.6672865422320419
ETU,OTFS,fixed_otfs,0.0033450071839080334,471250.0,13.791666666666666,0.6672865422320419
ETU,OTFS,oracle,0.0033450071839080334,471250.0,13.791666666666666,0.6672865422320419
EVA,ODDM,ai_adaptive,0.030430327868852424,294506.7587000289,10.672131147540984,0.44994577554651377
EVA,ODDM,fixed_oddm,0.10118335573476701,142946.61384644412,8.561290322580644,0.30205214543347386
EVA,ODDM,oracle,0.08642401485788112,146226.03019175853,9.209302325581396,0.3244272661624399
EVA,OTFS,ai_adaptive,0.08559092237348734,149257.42574257427,9.037128712871286,0.33461797570465196
EVA,OTFS,fixed_otfs,0.07805574223416965,164516.12903225806,9.279569892473118,0.3509998909755407
EVA,OTFS,oracle,0.07484325631911531,179146.91943127962,9.417061611374407,0.36314018486163424
