frame,timestamp,t_sim_s,scenario_id,environment,speed_kmph,snr_db,doppler_hz,carrier_frequency_hz,bandwidth_hz,channel_profile,delay_spread_taps,num_paths,modulation,doppler_scale,detector,waveform,strategy,mode,policy,scenario_seed,payload_seed,channel_seed,noise_seed,payload_sum,chan_checksum,frequency_offset_hz,phase_offset_rad,timing_offset_samples,predicted_waveform,confidence,confidence_band,predicted_OTFS_BER,predicted_ODDM_BER,predicted_OTFS_ACS,predicted_ODDM_ACS,predicted_OTFS_throughput,predicted_ODDM_throughput,predicted_OTFS_CQI,predicted_ODDM_CQI,uncertainty_ACS_OTFS,uncertainty_ACS_ODDM,selected_waveform,previous_waveform,switched,switch_reason,ai_error,fallback_used,fallback_reason,BER,SER,PER,throughput_bps,spectral_efficiency,CQI,wall_clock_ms,detector_time_ms,latency_ms_modeled,packet_loss,recovery_rate,ACS,tp_cap_bps,se_cap,actual_BER_OTFS,actual_ACS_OTFS,actual_BER_ODDM,actual_ACS_ODDM,actual_TP_OTFS,actual_TP_ODDM,oracle_waveform,oracle_BER,oracle_ACS,ACS_regret,BER_regret,relative_BER_regret,decision_correct,error_flag,error_message,master_seed,policy_version,experiment_id,modulation_label
1,2026-08-25 16:02:22,0,A,Urban,21.3,12.48,78.9435025302293,4000000000,480000,EVA,1,9,4,1.0,MRC,OTFS,fixed_otfs,FULL,phase3,20260823,20260824,202608231,100001,953,2.85677550621526,0,0,0,,,,,,,,,,,,,,,OTFS,0,,,0,,0.0,0.0,0,900000.0,1.875,15,64.5835,47.0948,,0,1,0.972769620784313,900000.0,2,0.0,0.972769620784313,0.0,0.956894467248858,900000,898245.614035088,OTFS,0.0,0.972769620784313,0.0,0.0,,,0,,20260823.0,phase3,A_fixed_otfs_20260823.0,QPSK
2,2026-08-25 16:02:25,1,A,Urban,23.3,12.81,86.3560379790771,4000000000,480000,EVA,1,9,4,1.0,MRC,OTFS,fixed_otfs,FULL,phase3,20260823,20260825,202608232,100002,953,2.75092586780906,0,0,0,,,,,,,,,,,,,,,ODDM,0,,,0,,0.0,0.0,0,900000.0,1.875,15,43.3067,36.9618,,0,1,0.976876303993106,900000.0,2,0.0,0.976876303993106,0.0,0.95981461616372,900000,898245.614035088,OTFS,0.0,0.976876303993106,0.0,0.0,,,0,,20260823.0,phase3,A_fixed_otfs_20260823.0,QPSK
3,2026-08-25 16:02:28,2,A,Urban,24.9,13.49,92.2860663381554,4000000000,480000,EVA,1,9,4,1.0,MRC,OTFS,fixed_otfs,FULL,phase3,20260823,20260826,202608233,100003,959,2.05920287982526,0,0,0,,,,,,,,,,,,,,,ODDM,0,,,0,,0.0130208333333333,0.0239583333333333,1,0.0,0.0,10,35.4173,28.3432,,1,0,0.265343487092863,900000.0,2,0.0130208333333333,0.265343487092863,0.0140625,0.238523755998537,0,0.0,OTFS,0.0130208333333333,0.265343487092863,0.0,0.0,0.0,,0,,20260823.0,phase3,A_fixed_otfs_20260823.0,QPSK
4,2026-08-25 16:02:31,3,A,Urban,26.1,14.48,96.7335876074641,4000000000,480000,EVA,1,9,4,1.0,MRC,OTFS,fixed_otfs,FULL,phase3,20260823,20260827,202608234,100004,924,2.36994913157138,0,0,0,,,,,,,,,,,,,,,ODDM,0,,,0,,0.003125,0.00625,1,0.0,0.0,13,29.8719,23.6308,,1,0,0.323237169492676,900000.0,2,0.003125,0.323237169492676,0.0072916666666666,0.260681096894572,0,0.0,OTFS,0.003125,0.323237169492676,0.0,0.0,0.0,,0,,20260823.0,phase3,A_fixed_otfs_20260823.0,QPSK
5,2026-08-25 16:02:35,4,A,Urban,26.5,15.69,98.2160946972337,4000000000,480000,EVA,1,9,4,1.0,MRC,OTFS,fixed_otfs,FULL,phase3,20260823,20260828,202608235,100005,914,1.90866906493955,0,0,0,,,,,,,,,,,,,,,ODDM,0,,,0,,0.0140625,0.028125,1,0.0,0.0,10,51.2032,44.2914,,1,0,0.257299098970032,900000.0,2,0.0140625,0.257299098970032,0.0098958333333333,0.24341007131326,0,0.0,OTFS,0.0098958333333333,0.257299098970032,0.0,0.0041666666666666,0.421052631578947,,0,,20260823.0,phase3,A_fixed_otfs_20260823.0,QPSK
6,2026-08-25 16:02:38,5,A,Urban,26.2,16.98,97.1042143799065,4000000000,480000,EVA,1,9,4,1.0,MRC,OTFS,fixed_otfs,FULL,phase3,20260823,20260829,202608236,100006,985,2.89307410024442,0,0,0,,,,,,,,,,,,,,,OTFS,0,,,0,,0.0,0.0,0,900000.0,1.875,15,34.9356,27.2752,,0,1,0.981001450535067,900000.0,2,0.0,0.981001450535067,0.0,0.95015288824884,900000,898245.614035088,OTFS,0.0,0.981001450535067,0.0,0.0,,,0,,20260823.0,phase3,A_fixed_otfs_20260823.0,QPSK
7,2026-08-25 16:02:42,6,A,Urban,25.1,17.99,93.0273198830402,4000000000,480000,EVA,1,9,4,1.0,MRC,OTFS,fixed_otfs,FULL,phase3,20260823,20260830,202608237,100007,962,3.07570640912842,0,0,0,,,,,,,,,,,,,,,OTFS,0,,,0,,0.0,0.0,0,900000.0,1.875,15,53.5785,46.244,,0,1,0.97310648625598,900000.0,2,0.0,0.97310648625598,0.0,0.95860563983944,900000,898245.614035088,OTFS,0.0,0.97310648625598,0.0,0.0,,,0,,20260823.0,phase3,A_fixed_otfs_20260823.0,QPSK
8,2026-08-25 16:02:45,7,A,Urban,23.2,17.95,85.9854112066348,4000000000,480000,EVA,1,9,4,1.0,MRC,OTFS,fixed_otfs,FULL,phase3,20260823,20260831,202608238,100008,976,2.42415340078645,0,0,0,,,,,,,,,,,,,,,OTFS,0,,,0,,0.0,0.0,0,900000.0,1.875,15,60.106,53.6227,,0,1,0.970232096899639,900000.0,2,0.0,0.970232096899639,0.0020833333333333,0.306742856542132,900000,0.0,OTFS,0.0,0.970232096899639,0.0,0.0,,,0,,20260823.0,phase3,A_fixed_otfs_20260823.0,QPSK
9,2026-08-25 16:02:48,8,A,Urban,20.7,17.71,76.719741895575,4000000000,480000,EVA,1,9,4,1.0,MRC,OTFS,fixed_otfs,FULL,phase3,20260823,20260832,202608239,100009,945,2.74798957881985,0,0,0,,,,,,,,,,,,,,,OTFS,0,,,0,,0.0,0.0,0,900000.0,1.875,15,24.4127,17.3972,,0,1,0.985418992920233,900000.0,2,0.0,0.985418992920233,0.0,0.949237100250932,900000,898245.614035088,OTFS,0.0,0.985418992920233,0.0,0.0,,,0,,20260823.0,phase3,A_fixed_otfs_20260823.0,QPSK
10,2026-08-25 16:02:51,9,A,Urban,17.9,17.31,66.342192267188,4000000000,480000,EVA,1,9,4,1.0,MRC,OTFS,fixed_otfs,FULL,phase3,20260823,20260833,202608240,100010,985,3.50896733020769,0,0,0,,,,,,,,,,,,,,,OTFS,0,,,0,,0.0,0.0,0,900000.0,1.875,15,41.3357,36.0781,,0,1,0.977244410207071,900000.0,2,0.0,0.977244410207071,0.0,0.956271310687877,900000,898245.614035088,OTFS,0.0,0.977244410207071,0.0,0.0,,,0,,20260823.0,phase3,A_fixed_otfs_20260823.0,QPSK
