frame,scenario_id,environment,snr_db,speed_kmph,ai_waveform,oracle_waveform,decision_correct,ACS,oracle_ACS,ACS_regret,BER,oracle_BER,BER_regret,relative_BER_regret
1,A,Urban,12.48,21.3,ODDM,OTFS,0.0,0.956894467248858,0.972769620784313,0.0158751535354547,0.0,0.0,0.0,
2,A,Urban,12.81,23.3,ODDM,OTFS,0.0,0.95981461616372,0.976876303993106,0.0170616878293866,0.0,0.0,0.0,
3,A,Urban,13.49,24.9,ODDM,OTFS,0.0,0.238523755998537,0.265343487092863,0.0268197310943256,0.0140625,0.0130208333333333,0.0010416666666666,0.08
4,A,Urban,14.48,26.1,ODDM,OTFS,0.0,0.260681096894572,0.323237169492676,0.0625560725981039,0.0072916666666666,0.003125,0.0041666666666666,1.33333333333333
5,A,Urban,15.69,26.5,OTFS,OTFS,1.0,0.257299098970032,0.257299098970032,0.0,0.0140625,0.0098958333333333,0.0041666666666666,0.421052631578947
6,A,Urban,16.98,26.2,OTFS,OTFS,1.0,0.981001450535067,0.981001450535067,0.0,0.0,0.0,0.0,
7,A,Urban,17.99,25.1,OTFS,OTFS,1.0,0.97310648625598,0.97310648625598,0.0,0.0,0.0,0.0,
8,A,Urban,17.95,23.2,OTFS,OTFS,1.0,0.970232096899639,0.970232096899639,0.0,0.0,0.0,0.0,
9,A,Urban,17.71,20.7,OTFS,OTFS,1.0,0.985418992920233,0.985418992920233,0.0,0.0,0.0,0.0,
10,A,Urban,17.31,17.9,OTFS,OTFS,1.0,0.977244410207071,0.977244410207071,0.0,0.0,0.0,0.0,
11,A,Urban,16.76,14.9,OTFS,OTFS,1.0,0.24432565210682,0.24432565210682,0.0,0.0182291666666667,0.0182291666666667,0.0,0.0
12,A,Urban,16.1,12.1,OTFS,OTFS,1.0,0.979013689676581,0.979013689676581,0.0,0.0,0.0,0.0,
13,A,Urban,15.38,10.0,OTFS,OTFS,1.0,0.358155518559951,0.358155518559951,0.0,0.0010416666666666,0.0010416666666666,0.0,0.0
14,A,Urban,14.62,10.0,OTFS,OTFS,1.0,0.260479499350868,0.260479499350868,0.0,0.0098958333333333,0.0098958333333333,0.0,0.0
15,A,Urban,13.9,10.0,OTFS,OTFS,1.0,0.979221004176704,0.979221004176704,0.0,0.0,0.0,0.0,
16,A,Urban,12.46,10.0,ODDM,ODDM,1.0,0.959540787070665,0.959540787070665,0.0,0.0,0.0,0.0,
17,A,Urban,10.92,10.0,ODDM,OTFS,0.0,0.266711214119824,0.305930160961986,0.0392189468421624,0.00625,0.0046875,0.0015625,0.333333333333333
18,A,Urban,9.76,10.0,ODDM,OTFS,0.0,0.279826477977323,0.324240543066245,0.044414065088922,0.0057291666666666,0.0026041666666666,0.003125,1.2
19,A,Urban,9.11,10.0,ODDM,OTFS,0.0,0.339405007045208,0.361500537563665,0.022095530518457,0.0010416666666666,0.0010416666666666,0.0,0.0
20,A,Urban,9.05,11.5,ODDM,OTFS,0.0,0.961081670199167,0.976423505838167,0.015341835639,0.0,0.0,0.0,
21,A,Highway,6.57,107.2,OTFS,OTFS,1.0,0.190290124631171,0.190290124631171,0.0,0.078125,0.0755208333333333,0.0026041666666666,0.0344827586206897
22,A,Highway,7.62,114.9,OTFS,ODDM,0.0,0.168574055230538,0.172302510267531,0.0037284550369927,0.123958333333333,0.0765625,0.0473958333333333,0.619047619047619
23,A,Highway,9.08,117.7,OTFS,OTFS,1.0,0.270426777389735,0.270426777389735,0.0,0.0119791666666667,0.0119791666666667,0.0,0.0
24,A,Highway,10.55,113.5,OTFS,OTFS,1.0,0.203742154630527,0.203742154630527,0.0,0.0432291666666667,0.0432291666666667,0.0,0.0
25,A,Highway,11.25,104.2,OTFS,OTFS,1.0,0.986179730540268,0.986179730540268,0.0,0.0,0.0,0.0,
26,A,Highway,12.0,95.0,OTFS,OTFS,1.0,0.985453787904977,0.985453787904977,0.0,0.0,0.0,0.0,
27,A,Highway,12.75,90.8,OTFS,OTFS,1.0,0.366732680891252,0.366732680891252,0.0,0.0010416666666666,0.0010416666666666,0.0,0.0
28,A,Highway,13.45,93.5,OTFS,OTFS,1.0,0.300063953828474,0.300063953828474,0.0,0.0057291666666666,0.0057291666666666,0.0,0.0
29,A,Highway,14.05,101.3,OTFS,OTFS,1.0,0.222012823812773,0.222012823812773,0.0,0.0328125,0.0291666666666667,0.0036458333333333,0.125
30,A,Highway,14.53,109.0,OTFS,ODDM,0.0,0.278262260035973,0.281393067748892,0.0031308077129189,0.0072916666666666,0.0046875,0.0026041666666666,0.555555555555556
31,A,Highway,14.85,111.8,OTFS,OTFS,1.0,0.976910226444845,0.976910226444845,0.0,0.0,0.0,0.0,
32,A,Highway,14.99,107.5,OTFS,OTFS,1.0,0.302387135094372,0.302387135094372,0.0,0.0046875,0.0046875,0.0,0.0
33,A,Highway,14.17,98.3,OTFS,OTFS,1.0,0.978060775997322,0.978060775997322,0.0,0.0,0.0,0.0,
34,A,Highway,12.95,89.1,OTFS,OTFS,1.0,0.985422843098788,0.985422843098788,0.0,0.0,0.0,0.0,
35,A,Highway,11.79,84.8,OTFS,ODDM,0.0,0.149716555242709,0.153073346756239,0.0033567915135305,0.194270833333333,0.1046875,0.0895833333333333,0.855721393034826
36,A,Highway,10.82,87.6,OTFS,OTFS,1.0,0.362674714118942,0.362674714118942,0.0,0.0010416666666666,0.0010416666666666,0.0,0.0
37,A,Highway,10.15,95.4,OTFS,OTFS,1.0,0.172931612007741,0.172931612007741,0.0,0.119791666666667,0.107291666666667,0.0125,0.116504854368932
38,A,Highway,9.8,103.1,OTFS,OTFS,1.0,0.282014043752287,0.282014043752287,0.0,0.0088541666666666,0.0067708333333333,0.0020833333333333,0.307692307692308
39,A,Highway,9.78,105.9,OTFS,ODDM,0.0,0.203765506539748,0.227153893803438,0.0233883872636897,0.0473958333333333,0.0177083333333333,0.0296875,1.67647058823529
40,A,Highway,10.03,101.6,OTFS,OTFS,1.0,0.210456676945518,0.210456676945518,0.0,0.0510416666666667,0.0411458333333333,0.0098958333333333,0.240506329113924
41,A,Highway,10.24,92.4,OTFS,ODDM,0.0,0.272155655185501,0.272803317125485,0.0006476619399841,0.0104166666666667,0.0052083333333333,0.0052083333333333,1.0
42,A,Highway,9.69,83.2,OTFS,ODDM,0.0,0.365338336296619,0.949749940543391,0.584411604246772,0.0010416666666666,0.0,0.0010416666666666,
43,A,Highway,9.29,78.9,OTFS,OTFS,1.0,0.983358321180617,0.983358321180617,0.0,0.0,0.0,0.0,
44,A,Highway,9.05,81.7,OTFS,OTFS,1.0,0.261273876486862,0.261273876486862,0.0,0.0119791666666667,0.0098958333333333,0.0020833333333333,0.210526315789474
45,A,Highway,9.01,89.4,OTFS,OTFS,1.0,0.280241976368692,0.280241976368692,0.0,0.0072916666666666,0.0072916666666666,0.0,0.0
