frame,scenario_id,environment,snr_db,speed_kmph,predicted_OTFS_BER,actual_BER_OTFS,predicted_ODDM_BER,actual_BER_ODDM,predicted_OTFS_throughput,actual_TP_OTFS,predicted_ODDM_throughput,actual_TP_ODDM,predicted_OTFS_CQI,CQI_OTFS_from_trace,predicted_OTFS_ACS,actual_ACS_OTFS,predicted_ODDM_ACS,actual_ACS_ODDM
1,A,Urban,12.48,21.3,0.0145797654576751,0.0,0.0098113511034688,0.0,310186.850361867,900000,413614.079122941,898245.614035088,11.9611111111111,15,0.513281730591352,0.972769620784313,0.562569180503778,0.956894467248858
2,A,Urban,12.81,23.3,1.60050362889454e-11,0.0,4.697581314654879e-11,0.0,844728.265107213,900000,773969.24481495,898245.614035088,14.7355555555556,15,0.921752484106741,0.976876303993106,0.849949596070165,0.95981461616372
3,A,Urban,13.49,24.9,1.60050362889454e-11,0.0130208333333333,4.6975813146549e-11,0.0140625,844728.265107213,0,773969.24481495,0.0,14.7355555555556,10,0.921752484106741,0.265343487092863,0.849949596070165,0.238523755998537
4,A,Urban,14.48,26.1,1.60050362889454e-11,0.003125,4.6975813146549e-11,0.0072916666666666,844728.265107213,0,773969.24481495,0.0,14.7355555555556,11,0.921752484106741,0.323237169492676,0.849949596070166,0.260681096894572
5,A,Urban,15.69,26.5,1.60050362889453e-11,0.0140625,4.697581314654879e-11,0.0098958333333333,844728.265107213,0,773969.24481495,0.0,14.7355555555556,10,0.921752484106741,0.257299098970032,0.849949596070165,0.24341007131326
6,A,Urban,16.98,26.2,1.60050362889454e-11,0.0,4.697581314654879e-11,0.0,844728.265107213,900000,773969.24481495,898245.614035088,14.7355555555556,15,0.921752484106741,0.981001450535067,0.849949596070165,0.95015288824884
7,A,Urban,17.99,25.1,1.2093249352128999e-12,0.0,1.13508575077838e-12,0.0,892380.701754386,900000,896729.957805912,898245.614035088,15.0,15,0.984908457255531,0.97310648625598,0.962899811389603,0.95860563983944
8,A,Urban,17.95,23.2,1.2093249352128999e-12,0.0,1.13508575077838e-12,0.0020833333333333,892380.701754386,900000,896729.957805912,0.0,15.0,15,0.98490845725553,0.970232096899639,0.962899811389603,0.306742856542132
9,A,Urban,17.71,20.7,1.2093249352128999e-12,0.0,1.13508575077838e-12,0.0,892380.701754386,900000,896729.957805912,898245.614035088,15.0,15,0.984908457255531,0.985418992920233,0.962899811389603,0.949237100250932
10,A,Urban,17.31,17.9,5.2360438190589394e-11,0.0,1.03730753347302e-10,0.0,834261.798876722,900000,771636.713226322,898245.614035088,14.4244444444445,15,0.910620191598478,0.977244410207071,0.839256547557364,0.956271310687877
