Environment,Speed_kmh,DelayProfile,DelaySpread,NumPaths,DopplerSpread,Modulation,Detector,SNR_dB,BER,SER,PER,EVM_percent,SINR_est_dB,CQI,Throughput_bps,SpectralEfficiency_bps_per_Hz,Runtime_sec,AvgIterations,ScenarioID,Category,FocusMode,Timestamp
Pedestrian,2,EPA,0,7,0.0273354354150626,QPSK,MRC,0,0.226744791666667,0.385755208333333,1,91.0675054400911,0.812731192814131,4,0,0,0.8096554,2,1,LowMobility,0,2026-08-06 15:43:49
Pedestrian,2,EPA,0,7,0.0312319522439121,QPSK,MRC,5,0.0797135416666667,0.144401041666667,1,45.2556997012348,6.88653432125951,7,0,0,0.3726657,2,1,LowMobility,0,2026-08-06 15:43:50
Pedestrian,2,EPA,0,7,0.0302476229298586,QPSK,MRC,10,0.0721875,0.12921875,0.8,37.9679994878084,8.41164569970812,8,360000,0.375,0.3656427,2,1,LowMobility,0,2026-08-06 15:43:50
Pedestrian,2,EPA,0,7,0.0313363270858584,QPSK,MRC,15,0.00118489583333333,0.00234375,0.3,2.84259162419908,30.9257105592407,15,1260000,1.3125,0.2972198,2,1,LowMobility,0,2026-08-06 15:43:50
Pedestrian,2,EPA,0,7,0.0316266331995314,QPSK,MRC,20,0.00829427083333333,0.0158854166666667,0.2,6.07365433795156,24.3309985631128,15,1440000,1.5,0.2797962,2,1,LowMobility,0,2026-08-06 15:43:51
Pedestrian,2,EPA,0,7,0.0316268027797492,QPSK,MRC,25,0,0,0,0,160,15,1800000,1.875,0.2679209,2,1,LowMobility,0,2026-08-06 15:43:51
Pedestrian,2,EPA,0,7,0.0305104748020825,QPSK,MRC,30,0,0,0,0,160,15,1800000,1.875,0.2866944,2,1,LowMobility,0,2026-08-06 15:43:51
Pedestrian,2,EPA,0,7,0.0315955360900087,QPSK,LMMSE,0,0.17109375,0.308098958333333,1,80.8331460975953,1.84821035493697,4,0,0,0.1647447,1,1,LowMobility,0,2026-08-06 15:43:51
Pedestrian,2,EPA,0,7,0.0314040206604692,QPSK,LMMSE,5,0.0661979166666667,0.122421875,0.9,40.4429559536464,7.86314219147148,7,180000,0.1875,0.056176,1,1,LowMobility,0,2026-08-06 15:43:51
Pedestrian,2,EPA,0,7,0.0303026514242457,QPSK,LMMSE,10,0.0220442708333333,0.0409375,0.7,15.6504011589063,16.1094905184318,11,540000,0.5625,0.0559736,1,1,LowMobility,0,2026-08-06 15:43:51
Pedestrian,2,EPA,0,7,0.0315879654292643,QPSK,LMMSE,15,0.000104166666666667,0.000208333333333333,0.2,0.832025096718379,41.5972714741393,15,1440000,1.5,0.0542032,1,1,LowMobility,0,2026-08-06 15:43:51
