frame,speed_kmph,SNR_dB,profile,chosen_waveform,chosen_detector,choice_prob,BER_chosen,CQI_chosen,Latency_ms_chosen,BER_oracle,oracle_waveform,BER_OTFS,BER_ODDM,BER_OFDM,CQI_OTFS,CQI_ODDM,CQI_OFDM,optimal_choice
1,3,15.2514757203218,EPA,OTFS,MRC,1,0,15,118.2839,0,OTFS,0,0,0,15,15,15,1
2,4,16.4638026216662,EPA,OTFS,MRC,1,0,15,24.4087,0,OTFS,0,0,0,15,15,15,1
3,6,17.6152573312497,EPA,OTFS,MRC,1,0,15,14.7303,0,OTFS,0,0,0,15,15,15,1
4,7,18.6772820183398,EPA,OTFS,MRC,1,0.00572916666666667,12,11.0185,0.003125,ODDM,0.00572916666666667,0.003125,0.00572916666666667,12,13,12,0
5,9,19.623520916159,EPA,OTFS,MRC,1,0.000520833333333333,15,15.0961,0,ODDM,0.000520833333333333,0,0,15,15,15,0
6,10,20.4304692883329,EPA,OTFS,MRC,1,0,15,8.9783,0,OTFS,0,0,0,15,15,15,1
7,12,21.0780521935069,EPA,OTFS,MRC,1,0,15,8.4261,0,OTFS,0,0,0,15,15,15,1
8,13,21.5501187970279,EPA,OTFS,MRC,1,0,15,9.5755,0,OTFS,0,0,0,15,15,15,1
9,14,21.8348400580944,EPA,OTFS,MRC,1,0,15,10.4232,0,OTFS,0,0,0,15,15,15,1
10,16,21.925,EPA,OTFS,MRC,1,0,15,9.0866,0,OTFS,0,0,0,15,15,15,1
11,17,21.8181733914278,EPA,OTFS,MRC,1,0,15,10.3679,0,OTFS,0,0,0,15,15,15,1
12,19,21.5167854636946,EPA,OTFS,MRC,1,0,15,10.1163,0,OTFS,0,0,0,15,15,15,1
13,20,21.0280521935069,EPA,OTFS,MRC,1,0,15,9.0155,0,OTFS,0,0,0,15,15,15,1
14,21,20.3638026216662,EPA,OTFS,MRC,1,0,15,9.6255,0,OTFS,0,0,0,15,15,15,1
15,23,19.5401875828257,EPA,OTFS,MRC,1,0,15,9.6222,0,OTFS,0,0,0,15,15,15,1
16,24,18.5772820183398,EPA,OTFS,MRC,1,0,15,9.3477,0,OTFS,0,0,0,15,15,15,1
17,26,17.498590664583,EPA,OTFS,MRC,1,0,15,10.6249,0,OTFS,0,0,0,15,15,15,1
18,27,16.3304692883329,EPA,OTFS,MRC,1,0,15,10.2526,0,OTFS,0,0,0,15,15,15,1
19,29,15.1014757203218,EPA,OTFS,MRC,1,0,15,8.9364,0,OTFS,0,0,0,15,15,15,1
20,30,13.8416666666667,EPA,OTFS,MRC,1,0.328125,3,9.7631,0.3046875,OFDM,0.328125,0.311979166666667,0.3046875,3,3,3,0
21,30,12.5818576130115,EVA,OTFS,MRC,1,0.00364583333333333,12,33.2113,0.00364583333333333,OTFS,0.00364583333333333,0.00885416666666667,0.0151041666666667,12,11,10,1
22,35,11.3528640450004,EVA,OTFS,MRC,1,0,15,8.4406,0,OTFS,0,0,0,15,15,15,1
23,39,10.1847426687503,EVA,OTFS,MRC,1,0.0151041666666667,10,17.6362,0.0151041666666667,OTFS,0.0151041666666667,0.0296875,0.04375,10,8,7,1
24,44,9.10605131499355,EVA,OTFS,MRC,1,0.00364583333333333,12,8.0028,0.00364583333333333,OTFS,0.00364583333333333,0.00364583333333333,0.00989583333333333,12,12,10,1
25,49,8.14314575050762,EVA,OTFS,MRC,1,0.00104166666666667,15,11.107,0.00104166666666667,OTFS,0.00104166666666667,0.003125,0.00833333333333333,15,13,11,1
