ProfileIdx,label,waveform,detector,BER_total,SER_total,PER_mean,Thr_mean,SE_mean,EVM_mean,CQI_mean,SINR_mean,Lat_mean,Run_mean
1,OTFS (MRC),OTFS,MRC,0.01145833333,0.021875,0.4,540000,1.125,102.19218,10.41052978,13.24,16.213488,0.023382108
2,OTFS (MRC),OTFS,MRC,0.02447916667,0.046875,0.6,360000,0.75,72.05119,18.6450015,11.92,10.073104,0.013332004
3,OTFS (MRC),OTFS,MRC,0.002604166667,0.005208333333,0.44,504000,1.05,98.45832,5.429386296,14.08,12.1058,0.015744528
4,OTFS (MRC),OTFS,MRC,0.001077586207,0.002155172414,0.2,696000,1.45,131.59567,2.854989944,14.44,13.02934,0.017363732
1,OTFS (LMMSE),OTFS,LMMSE,0.01145833333,0.021875,0.4,540000,1.125,102.19218,10.41052978,13.24,1.226696,0.002886324
2,OTFS (LMMSE),OTFS,LMMSE,0.005208333333,0.01041666667,0.52,432000,0.9,85.703724,8.825716708,13.28,0.614092,0.00372114
3,OTFS (LMMSE),OTFS,LMMSE,0.003125,0.00625,0.52,432000,0.9,87.188672,6.33006654,13.92,0.891592,0.004505016
4,OTFS (LMMSE),OTFS,LMMSE,0.002693965517,0.005387931034,0.44,487200,1.015,98.060095,5.781052144,13.96,2.101356,0.006105664
1,ODDM (MMSETAP),ODDM,MMSETAP,0.01197916667,0.02291666667,0.32,610807.0148,1.2725146,112.59003,10.42951326,13.08,16.095868,0.0220702
2,ODDM (MMSETAP),ODDM,MMSETAP,0.3192708333,0.528125,1,0,0,-0.4648866,109.8882226,3.36,15.306312,0.0211427
3,ODDM (MMSETAP),ODDM,MMSETAP,0.2822916667,0.475,1,0,0,0.64618724,101.9495254,3.72,17.135296,0.027501444
4,ODDM (MMSETAP),ODDM,MMSETAP,0.2769396552,0.4676724138,1,0,0,-0.024700474,102.8978386,3.48,18.868556,0.034202728
1,ODDM (LMMSE),ODDM,LMMSE,0.01197916667,0.02291666667,0.32,610807.0148,1.2725146,112.59003,10.42951326,13.08,60.070508,0.065519064
2,ODDM (LMMSE),ODDM,LMMSE,0.005729166667,0.01041666667,0.6,359298.244,0.748538,75.144027,9.137563352,13.32,60.799348,0.066323944
3,ODDM (LMMSE),ODDM,LMMSE,0.002083333333,0.004166666667,0.48,467087.7172,0.9730994,93.075424,5.226361136,14.08,66.537876,0.076773772
4,ODDM (LMMSE),ODDM,LMMSE,0.002155172414,0.004310344828,0.36,555173.5168,1.15661152,109.25828,4.942778768,14.12,67.018572,0.08266256
1,OFDM (LMMSE),OFDM,LMMSE,0.0125,0.02395833333,0.32,610807.0148,1.2725146,112.5295,10.66201113,13.12,2.376936,0.00597946
2,OFDM (LMMSE),OFDM,LMMSE,0.01510416667,0.028125,0.72,251508.7708,0.5239766,53.640251,19.38533237,11,1.689024,0.006630848
3,OFDM (LMMSE),OFDM,LMMSE,0.0109375,0.01979166667,0.8,179649.122,0.374269,42.717613,17.90024452,11.2,1.737588,0.007652312
4,OFDM (LMMSE),OFDM,LMMSE,0.01185344828,0.02155172414,0.88,104095.0344,0.21686466,31.16622,19.33243556,10.8,2.207676,0.008791688
