CondIdx,label,waveform,detector,BER_total,SER_total,PER_mean,Thr_mean,SE_mean,EVM_mean,CQI_mean,SINR_mean,Lat_mean,Run_mean
1,OTFS (MRC),OTFS,MRC,0.008854166667,0.01666666667,0.2,720000,1.5,130.14238,7.21412972,13.72,16.893524,0.02482548
2,OTFS (MRC),OTFS,MRC,0.002604166667,0.005208333333,0.44,504000,1.05,98.45832,5.429386296,14.08,12.515728,0.016218992
1,OTFS (LMMSE),OTFS,LMMSE,0.01041666667,0.02083333333,0.24,684000,1.425,124.32078,8.704369144,13.52,1.264228,0.00357994
2,OTFS (LMMSE),OTFS,LMMSE,0.003125,0.00625,0.52,432000,0.9,87.188672,6.33006654,13.92,0.766684,0.004541904
1,ODDM (MMSETAP),ODDM,MMSETAP,0.04895833333,0.084375,0.24,682666.6636,1.4222222,122.22437,20.0367228,12.52,19.496124,0.030861476
2,ODDM (MMSETAP),ODDM,MMSETAP,0.2822916667,0.475,1,0,0,0.64618724,101.9495254,3.72,17.604312,0.028193212
1,ODDM (LMMSE),ODDM,LMMSE,0.01041666667,0.01979166667,0.2,718596.488,1.497076,129.67292,8.35466852,13.48,66.8466,0.077908388
2,ODDM (LMMSE),ODDM,LMMSE,0.002083333333,0.004166666667,0.48,467087.7172,0.9730994,93.075424,5.226361136,14.08,69.036236,0.079453424
1,OFDM (MMSETAP),OFDM,MMSETAP,0.0140625,0.02604166667,0.28,646736.8392,1.3473684,118.09663,11.0704473,13.16,0.378176,0.007257132
2,OFDM (MMSETAP),OFDM,MMSETAP,0.0125,0.021875,0.8,179649.122,0.374269,42.304371,18.99549808,10.92,0.191488,0.006352828
1,OFDM (LMMSE),OFDM,LMMSE,0.0140625,0.02604166667,0.28,646736.8392,1.3473684,118.09663,11.0704473,13.16,2.314468,0.008350828
2,OFDM (LMMSE),OFDM,LMMSE,0.0109375,0.01979166667,0.8,179649.122,0.374269,42.717613,17.90024452,11.2,2.036564,0.007978224
