DopplerScale,label,waveform,detector,BER_total,SER_total,PER_mean,Thr_mean,SE_mean,EVM_mean,CQI_mean,SINR_mean,Lat_mean,Run_mean
0,OTFS (MRC),OTFS,MRC,0.008854166667,0.01666666667,0.2,720000,1.5,13.72,130.14238,7.21412972,17.288164,0.024876028
0.15,OTFS (MRC),OTFS,MRC,0.0046875,0.009375,0.24,684000,1.425,13.84,124.94753,5.816563448,13.696624,0.01713212
0.3,OTFS (MRC),OTFS,MRC,0.0046875,0.008333333333,0.24,684000,1.425,13.76,124.70941,6.056090808,13.799264,0.017624496
0.45,OTFS (MRC),OTFS,MRC,0.002604166667,0.005208333333,0.24,684000,1.425,14,125.25615,4.582168812,11.96916,0.015730844
0.6,OTFS (MRC),OTFS,MRC,0.004166666667,0.008333333333,0.36,576000,1.2,13.52,107.82874,7.096859012,12.183484,0.016226272
0.75,OTFS (MRC),OTFS,MRC,0.003645833333,0.00625,0.48,468000,0.975,13.88,92.53054,6.506343464,12.841504,0.016841572
0.9,OTFS (MRC),OTFS,MRC,0.003645833333,0.00625,0.48,468000,0.975,13.88,92.515109,6.55720592,12.376516,0.016628612
1.05,OTFS (MRC),OTFS,MRC,0.002083333333,0.004166666667,0.4,540000,1.125,14.28,104.23977,4.589332928,12.85666,0.017160812
1.2,OTFS (MRC),OTFS,MRC,0.002083333333,0.004166666667,0.4,540000,1.125,14.16,103.79469,5.018336336,13.255548,0.017769024
1.35,OTFS (MRC),OTFS,MRC,0.0015625,0.003125,0.32,612000,1.275,14.2,114.95181,3.927722524,13.08228,0.0176174
1.5,OTFS (MRC),OTFS,MRC,0.0015625,0.003125,0.32,612000,1.275,14.2,114.79863,4.082580992,13.791716,0.018522204
0,OTFS (LMMSE),OTFS,LMMSE,0.01041666667,0.02083333333,0.24,684000,1.425,13.52,124.32078,8.704369144,1.28806,0.003559328
0.15,OTFS (LMMSE),OTFS,LMMSE,0.006770833333,0.0125,0.28,648000,1.35,13.6,118.97599,7.391586008,0.834884,0.00410088
0.3,OTFS (LMMSE),OTFS,LMMSE,0.005729166667,0.01041666667,0.32,612000,1.275,13.64,113.675,7.233066608,0.8506,0.004484056
0.45,OTFS (LMMSE),OTFS,LMMSE,0.003125,0.00625,0.28,648000,1.35,13.84,119.51331,5.490560744,0.874372,0.00455988
0.6,OTFS (LMMSE),OTFS,LMMSE,0.003125,0.00625,0.48,468000,0.975,13.48,91.566291,7.247277192,0.844376,0.004755372
0.75,OTFS (LMMSE),OTFS,LMMSE,0.003125,0.00625,0.52,432000,0.9,13.68,86.758842,6.696018848,0.872568,0.00483978
0.9,OTFS (LMMSE),OTFS,LMMSE,0.002604166667,0.005208333333,0.56,396000,0.825,14,81.739632,6.505613412,0.849276,0.004863284
1.05,OTFS (LMMSE),OTFS,LMMSE,0.002604166667,0.005208333333,0.52,432000,0.9,14,87.209133,6.083385992,0.850948,0.004923504
1.2,OTFS (LMMSE),OTFS,LMMSE,0.002083333333,0.004166666667,0.52,432000,0.9,13.96,87.588018,5.818305816,0.893944,0.00529658
1.35,OTFS (LMMSE),OTFS,LMMSE,0.0015625,0.003125,0.36,576000,1.2,14.24,109.3826,4.38829628,0.845556,0.005092728
1.5,OTFS (LMMSE),OTFS,LMMSE,0.002083333333,0.004166666667,0.4,540000,1.125,14.2,104.31191,4.632350432,0.851428,0.005162776
0,ODDM (MMSETAP),ODDM,MMSETAP,0.04895833333,0.084375,0.24,682666.6636,1.4222222,12.52,122.22437,20.0367228,19.07548,0.03068588
0.15,ODDM (MMSETAP),ODDM,MMSETAP,0.04114583333,0.07291666667,0.48,467087.7172,0.9730994,11.56,87.625599,22.82866358,20.663632,0.032173008
0.3,ODDM (MMSETAP),ODDM,MMSETAP,0.06354166667,0.1166666667,0.68,287438.5952,0.5988304,9.52,56.057309,36.67191845,20.011172,0.032194052
0.45,ODDM (MMSETAP),ODDM,MMSETAP,0.1041666667,0.1854166667,0.84,143719.2976,0.2994152,7.72,30.534546,52.4337201,19.459888,0.0315771
0.6,ODDM (MMSETAP),ODDM,MMSETAP,0.1489583333,0.2614583333,0.96,35929.8244,0.0748538,6.2,11.240123,67.78167539,20.04512,0.032128268
0.75,ODDM (MMSETAP),ODDM,MMSETAP,0.2083333333,0.3583333333,1,0,0,4.6,2.6268546,85.17341198,20.066048,0.031949264
