profile,speed_kmph,BER_OTFS_MRC,CQI_OTFS,BER_ODDM_LMMSE,CQI_ODDM,BER_OFDM_LMMSE,CQI_OFDM,winner
EPA,3,0.020069444,13.4000,0.019166667,13.4667,0.017604167,13.6000,OFDM (LMMSE)
EPA,30,0.0050347222,13.6000,0.0032986111,13.7333,0.0057638889,13.2667,ODDM (LMMSE)
EPA,120,0.020277778,12.2000,0.0071527778,13.2667,0.016909722,11.0667,ODDM (LMMSE)
EPA,350,0.023854167,11.6000,0.0071875,13.0000,0.014930556,10.8667,ODDM (LMMSE)
EVA,3,0.0034375,14.2000,0.0039583333,14.1333,0.0056944444,13.7333,OTFS (MRC)
EVA,30,0.0059722222,13.6667,0.0069444444,13.6000,0.011180556,12.7333,OTFS (MRC)
EVA,120,0.0014583333,14.4667,0.00090277778,14.4000,0.0091319444,11.4667,ODDM (LMMSE)
EVA,350,0.0013541667,14.2000,0.0020833333,13.6667,0.013159722,10.5333,OTFS (MRC)
ETU,3,0.0017600575,14.0000,0.0033405172,13.8000,0.0090876437,12.6667,OTFS (MRC)
ETU,30,0.0015445402,14.2667,0.0036997126,13.4000,0.0096982759,12.0667,OTFS (MRC)
ETU,120,0.00089798851,14.6667,0.001795977,14.5333,0.0099497126,11.3333,OTFS (MRC)
ETU,350,0.00050287356,14.7333,0.0014367816,14.2667,0.012176724,10.6000,OTFS (MRC)
