modulation,SNR_dB,label,BER,SER,PER,CQI_mean,SE_mean
4,0,OTFS (MRC),0.23208333,0.401875,1,3.8000,0
4,0,ODDM (LMMSE),0.18715278,0.33201389,1,4.2000,0
4,0,OFDM (LMMSE),0.18923611,0.33180556,1,4.2667,0
4,5,OTFS (MRC),0.11496528,0.21298611,1,6.0000,0
4,5,ODDM (LMMSE),0.083506944,0.15798611,1,6.5333,0
4,5,OFDM (LMMSE),0.0871875,0.15590278,1,6.3333,0
4,10,OTFS (MRC),0.026388889,0.051527778,0.866667,9.9333,0.25
4,10,ODDM (LMMSE),0.017881944,0.035138889,0.8,10.3333,0.374269
4,10,OFDM (LMMSE),0.030486111,0.055277778,0.866667,8.9333,0.249513
4,15,OTFS (MRC),0.0014583333,0.0029166667,0.466667,14.4667,1
4,15,ODDM (LMMSE),0.00090277778,0.0018055556,0.533333,14.4000,0.873294
4,15,OFDM (LMMSE),0.0091319444,0.016527778,0.8,11.4667,0.374269
4,20,OTFS (MRC),0,0,0,15.0000,1.875
4,20,ODDM (LMMSE),6.9444444e-05,0.00013888889,0.133333,15.0000,1.62183
4,20,OFDM (LMMSE),0.0027777778,0.0049305556,0.733333,13.4667,0.499025
16,0,OTFS (MRC),0.34053819,0.78805556,1,3.6000,0
16,0,ODDM (LMMSE),0.36331597,0.89041667,1,4.0667,0
16,0,OFDM (LMMSE),0.36411458,0.88833333,1,4.1333,0
16,5,OTFS (MRC),0.23777778,0.64444444,1,5.0667,0
16,5,ODDM (LMMSE),0.32111111,0.85270833,1,4.4667,0
16,5,OFDM (LMMSE),0.31380208,0.83951389,1,4.6000,0
16,10,OTFS (MRC),0.13074653,0.43027778,1,7.4000,0
16,10,ODDM (LMMSE),0.25934028,0.74680556,1,5.4667,0
16,10,OFDM (LMMSE),0.23661458,0.68895833,1,5.5333,0
16,15,OTFS (MRC),0.044618056,0.16520833,0.933333,10.2000,0.25
16,15,ODDM (LMMSE),0.14147569,0.46729167,0.933333,7.4667,0.249513
16,15,OFDM (LMMSE),0.10921875,0.33944444,1,7.9333,0
16,20,OTFS (MRC),0.0036805556,0.014513889,0.666667,14.0667,1.25
16,20,ODDM (LMMSE),0.040746528,0.15125,0.8,10.4000,0.748538
16,20,OFDM (LMMSE),0.035954861,0.11222222,0.933333,10.4667,0.249513
64,0,OTFS (MRC),0.39914352,0.94013889,1,3.5333,0
64,0,ODDM (LMMSE),0.41450231,0.98326389,1,4.0000,0
64,0,OFDM (LMMSE),0.4143287,0.98069444,1,4.0000,0
64,5,OTFS (MRC),0.32662037,0.88833333,1,4.8667,0
64,5,ODDM (LMMSE),0.39346065,0.97972222,1,4.0000,0
64,5,OFDM (LMMSE),0.38758102,0.97666667,1,4.0000,0
64,10,OTFS (MRC),0.23109954,0.77388889,1,7.0667,0
64,10,ODDM (LMMSE),0.38315972,0.97472222,1,4.2000,0
64,10,OFDM (LMMSE),0.37211806,0.96833333,1,4.2000,0
64,15,OTFS (MRC),0.13297454,0.57819444,1,9.2000,0
64,15,ODDM (LMMSE),0.36415509,0.94875,1,5.3333,0
64,15,OFDM (LMMSE),0.33928241,0.93486111,1,5.4667,0
64,20,OTFS (MRC),0.057476852,0.30083333,0.933333,11.4000,0.375
64,20,ODDM (LMMSE),0.26201389,0.834375,1,7.2000,0
64,20,OFDM (LMMSE),0.22483796,0.76111111,1,7.2000,0
