NumPaths,label,waveform,detector,BER_total,SER_total,PER_mean,Thr_mean,SE_mean,EVM_mean,CQI_mean,SINR_mean,Lat_mean,Run_mean
1,OTFS (MRC),OTFS,MRC,0.01145833333,0.021875,0.4,540000,1.125,101.91677,10.66253678,13.12,16.337636,0.023302568
2,OTFS (MRC),OTFS,MRC,0.01822916667,0.034375,0.48,468000,0.975,89.334949,14.8409317,12.48,12.794164,0.014987788
3,OTFS (MRC),OTFS,MRC,0.00161637931,0.003232758621,0.12,765600,1.595,142.75398,2.275104,14.56,13.579992,0.016306836
4,OTFS (MRC),OTFS,MRC,0.001674107143,0.003348214286,0.24,638400,1.33,125.53146,3.87185516,14.2,13.742616,0.016832584
5,OTFS (MRC),OTFS,MRC,0.0005787037037,0.001157407407,0.32,550800,1.1475,116.3702,2.231603912,14.76,15.024824,0.018413296
6,OTFS (MRC),OTFS,MRC,0.0006009615385,0.001201923077,0.24,592800,1.235,126.60074,2.513274612,14.56,13.151616,0.01691964
7,OTFS (MRC),OTFS,MRC,0.000625,0.00125,0.16,630000,1.3125,137.33871,1.94548136,14.56,13.461516,0.01748046
8,OTFS (MRC),OTFS,MRC,0.0006510416667,0.001302083333,0.16,604800,1.26,137.21108,2.248924312,14.52,13.061384,0.01742356
9,OTFS (MRC),OTFS,MRC,0.004076086957,0.008152173913,0.12,607200,1.265,142.32596,3.692757672,14.32,13.562904,0.018383416
10,OTFS (MRC),OTFS,MRC,0.002130681818,0.004261363636,0.28,475200,0.99,120.30039,4.119143312,14.16,14.188744,0.019406132
1,OTFS (LMMSE),OTFS,LMMSE,0.01145833333,0.021875,0.4,540000,1.125,101.91677,10.66253678,13.12,1.041636,0.002870764
2,OTFS (LMMSE),OTFS,LMMSE,0.021875,0.04166666667,0.48,468000,0.975,88.298755,17.61810901,11.92,0.920172,0.003025552
3,OTFS (LMMSE),OTFS,LMMSE,0.003771551724,0.007543103448,0.44,487200,1.015,97.384539,6.77175898,13.72,1.03762,0.003644572
4,OTFS (LMMSE),OTFS,LMMSE,0.007254464286,0.01450892857,0.6,336000,0.7,74.235602,10.98324826,12.92,1.182236,0.004117108
5,OTFS (LMMSE),OTFS,LMMSE,0.00462962963,0.009259259259,0.68,259200,0.54,62.951333,10.15352697,12.96,1.329136,0.004578368
6,OTFS (LMMSE),OTFS,LMMSE,0.003004807692,0.006009615385,0.44,436800,0.91,97.271169,6.742010552,13.64,1.48382,0.004988436
7,OTFS (LMMSE),OTFS,LMMSE,0.004375,0.00875,0.64,270000,0.5625,69.209303,9.356905112,13.24,1.629436,0.005470528
8,OTFS (LMMSE),OTFS,LMMSE,0.00390625,0.0078125,0.4,432000,0.9,102.75815,6.848946048,13.64,1.838572,0.006177404
9,OTFS (LMMSE),OTFS,LMMSE,0.006114130435,0.01222826087,0.52,331200,0.69,87.324215,7.408733832,13.84,2.293808,0.006994636
