SNR_dB,label,waveform,detector,BER_total,SER_total,PER_mean,Thr_mean,SE_mean,EVM_mean,CQI_mean,SINR_mean,Lat_mean,Run_mean
0,OTFS (MRC),OTFS,MRC,0.2458333333,0.4239583333,1,0,0,3.6666667,0.46067283,97.40417257,19.15626,0.027677533
2.5,OTFS (MRC),OTFS,MRC,0.1869791667,0.3322916667,1,0,0,4.4666667,2.1006924,83.59818707,13.95514667,0.017466773
5,OTFS (MRC),OTFS,MRC,0.128125,0.2354166667,1,0,0,5.5666667,4.3071662,67.65106324,12.60332667,0.016046557
7.5,OTFS (MRC),OTFS,MRC,0.07395833333,0.1375,0.96666667,30000,0.0625,7.2333333,12.372731,48.60560318,15.90082667,0.020316787
10,OTFS (MRC),OTFS,MRC,0.0359375,0.06875,0.93333333,60000,0.125,9.6333333,21.651689,30.59792017,15.04679,0.01926543
12.5,OTFS (MRC),OTFS,MRC,0.01354166667,0.02604166667,0.73333333,240000,0.5,12.366667,54.791303,15.3789103,12.81909,0.017347033
15,OTFS (MRC),OTFS,MRC,0.004166666667,0.008333333333,0.43333333,510000,1.0625,13.933333,98.991419,6.412477453,14.59504333,0.019396007
17.5,OTFS (MRC),OTFS,MRC,0.001041666667,0.002083333333,0.13333333,780000,1.625,14.633333,141.16247,1.885429157,12.04791667,0.016162733
20,OTFS (MRC),OTFS,MRC,0,0,0.033333333,870000,1.8125,14.9,155.21328,0.5046084,12.41671,0.016679273
22.5,OTFS (MRC),OTFS,MRC,0,0,0.033333333,870000,1.8125,15,155.56041,0.1521451533,11.96819667,0.01617402
25,OTFS (MRC),OTFS,MRC,0,0,0,900000,1.875,15,160,0,11.62573333,0.01583383
0,OTFS (LMMSE),OTFS,LMMSE,0.1953125,0.35,1,0,0,4.1,1.3811576,87.1377118,1.193796667,0.0051198733
2.5,OTFS (LMMSE),OTFS,LMMSE,0.1416666667,0.2604166667,1,0,0,4.9,3.1165963,73.3418136,0.72612,0.0042044133
5,OTFS (LMMSE),OTFS,LMMSE,0.09322916667,0.1760416667,0.96666667,30000,0.0625,6.1333333,9.9765081,58.19868197,0.73269,0.0043276767
7.5,OTFS (LMMSE),OTFS,LMMSE,0.053125,0.1020833333,0.96666667,30000,0.0625,7.7333333,13.095702,42.52308967,0.8741633333,0.00509658
10,OTFS (LMMSE),OTFS,LMMSE,0.025,0.04895833333,0.9,90000,0.1875,9.7,26.489775,27.10559207,0.8706,0.0052128667
12.5,OTFS (LMMSE),OTFS,LMMSE,0.009375,0.01875,0.8,180000,0.375,12.066667,44.891149,14.87574153,0.8221133333,0.0048704933
15,OTFS (LMMSE),OTFS,LMMSE,0.003125,0.00625,0.53333333,420000,0.875,13.833333,85.261651,6.65455857,0.92728,0.0052516733
17.5,OTFS (LMMSE),OTFS,LMMSE,0.001041666667,0.002083333333,0.2,720000,1.5,14.6,131.87315,2.350781187,0.81139,0.0047705433
20,OTFS (LMMSE),OTFS,LMMSE,0,0,0.1,810000,1.6875,14.933333,146.44825,0.6444972067,0.86537,0.0049070767
22.5,OTFS (LMMSE),OTFS,LMMSE,0,0,0,900000,1.875,15,160,0,0.8239733333,0.0048907833
25,OTFS (LMMSE),OTFS,LMMSE,0,0,0,900000,1.875,15,160,0,0.8039833333,0.0047800533
0,ODDM (MMSETAP),ODDM,MMSETAP,0.3505208333,0.5729166667,1,0,0,2.9,-1.352465,117.635851,18.21087333,0.02950971
2.5,ODDM (MMSETAP),ODDM,MMSETAP,0.3276041667,0.5416666667,1,0,0,3.0333333,-0.9815078,113.2590395,16.91652333,0.026827113
5,ODDM (MMSETAP),ODDM,MMSETAP,0.3098958333,0.515625,1,0,0,3.1666667,-0.63195516,109.6123896,17.03627333,0.026803427
7.5,ODDM (MMSETAP),ODDM,MMSETAP,0.2994791667,0.5,1,0,0,3.3333333,-0.31465492,106.9726109,21.01319,0.03328794
10,ODDM (MMSETAP),ODDM,MMSETAP,0.2921875,0.4895833333,1,0,0,3.5,0.0080251617,104.9253789,19.36832667,0.031287577
12.5,ODDM (MMSETAP),ODDM,MMSETAP,0.2875,0.4833333333,1,0,0,3.5333333,0.27191951,103.6326618,19.28815667,0.031293527
15,ODDM (MMSETAP),ODDM,MMSETAP,0.2854166667,0.4802083333,1,0,0,3.6666667,0.46119279,102.9450268,21.22367667,0.034374347
17.5,ODDM (MMSETAP),ODDM,MMSETAP,0.284375,0.478125,1,0,0,3.7666667,0.56889056,102.5214579,19.16345333,0.03082819
20,ODDM (MMSETAP),ODDM,MMSETAP,0.2833333333,0.4770833333,1,0,0,3.7666667,0.70488921,102.1791824,19.45285333,0.03133083
22.5,ODDM (MMSETAP),ODDM,MMSETAP,0.2828125,0.4760416667,0.96666667,29941.52033,0.06237816667,3.7666667,5.1697665,101.8305312,19.49903667,0.031095317
25,ODDM (MMSETAP),ODDM,MMSETAP,0.2822916667,0.475,0.96666667,29941.52033,0.06237816667,3.8,5.1846944,101.7087289,19.43087,0.03131987
0,ODDM (LMMSE),ODDM,LMMSE,0.1963541667,0.3489583333,1,0,0,4.0333333,1.3173156,87.49041847,60.7635,0.071472037
2.5,ODDM (LMMSE),ODDM,LMMSE,0.1416666667,0.2604166667,1,0,0,4.9,3.1405074,73.29425547,61.17892667,0.070897427
5,ODDM (LMMSE),ODDM,LMMSE,0.0921875,0.1739583333,1,0,0,6.1,5.5650222,58.03358765,64.46001333,0.07438679
7.5,ODDM (LMMSE),ODDM,LMMSE,0.05208333333,0.1010416667,0.96666667,29941.52033,0.06237816667,7.7666667,13.346626,42.12254426,75.38140667,0.08767916
10,ODDM (LMMSE),ODDM,LMMSE,0.02447916667,0.04791666667,0.86666667,119766.0813,0.2495126667,9.7666667,30.840131,26.80542013,73.75058333,0.085724003
12.5,ODDM (LMMSE),ODDM,LMMSE,0.008333333333,0.01666666667,0.8,179649.122,0.374269,12.1,45.017625,14.33961535,74.43443,0.086462123
