Speed_kmph,label,waveform,detector,BER_total,SER_total,PER_mean,Thr_mean,SE_mean,EVM_mean,CQI_mean,SINR_mean,Lat_mean,Run_mean
0,OTFS (MRC),OTFS,MRC,0.008854166667,0.01666666667,0.2,720000,1.5,13.72,130.14238,7.21412972,16.647212,0.024258376
30,OTFS (MRC),OTFS,MRC,0.004166666667,0.008333333333,0.2,720000,1.5,13.92,130.47153,5.35801784,10.766396,0.013713968
60,OTFS (MRC),OTFS,MRC,0.002083333333,0.004166666667,0.32,612000,1.275,13.96,114.45825,4.608501904,10.453752,0.013607048
90,OTFS (MRC),OTFS,MRC,0.003645833333,0.00625,0.48,468000,0.975,13.88,92.53054,6.506343464,10.320796,0.013574284
120,OTFS (MRC),OTFS,MRC,0.002604166667,0.005208333333,0.44,504000,1.05,14.08,98.45832,5.429386296,13.07992,0.017372008
150,OTFS (MRC),OTFS,MRC,0.002083333333,0.004166666667,0.36,576000,1.2,14.08,109.08609,4.93411456,12.63806,0.017034456
180,OTFS (MRC),OTFS,MRC,0.0015625,0.003125,0.32,612000,1.275,14.2,114.79863,4.082580992,12.314276,0.016678484
210,OTFS (MRC),OTFS,MRC,0.0015625,0.003125,0.36,576000,1.2,14.16,109.45185,4.366093428,12.909284,0.017587284
240,OTFS (MRC),OTFS,MRC,0.0015625,0.003125,0.36,576000,1.2,14.12,109.22605,4.50037508,13.50038,0.018262692
270,OTFS (MRC),OTFS,MRC,0.0015625,0.003125,0.4,540000,1.125,14.24,104.14614,4.376053232,14.265788,0.019021132
300,OTFS (MRC),OTFS,MRC,0.0015625,0.003125,0.4,540000,1.125,14.12,103.9299,4.679925664,13.673728,0.01847922
0,OTFS (LMMSE),OTFS,LMMSE,0.01041666667,0.02083333333,0.24,684000,1.425,13.52,124.32078,8.704369144,1.188584,0.00335518
30,OTFS (LMMSE),OTFS,LMMSE,0.005729166667,0.01145833333,0.28,648000,1.35,13.68,119.2386,6.970170392,0.746924,0.003720456
60,OTFS (LMMSE),OTFS,LMMSE,0.002604166667,0.005208333333,0.36,576000,1.2,13.8,108.59335,5.604903996,0.719244,0.003790156
90,OTFS (LMMSE),OTFS,LMMSE,0.003125,0.00625,0.52,432000,0.9,13.68,86.758842,6.696018848,0.730936,0.004060576
120,OTFS (LMMSE),OTFS,LMMSE,0.003125,0.00625,0.52,432000,0.9,13.92,87.188672,6.33006654,0.881912,0.005142388
150,OTFS (LMMSE),OTFS,LMMSE,0.002083333333,0.004166666667,0.44,504000,1.05,14,98.370116,5.343865012,0.910588,0.005321868
180,OTFS (LMMSE),OTFS,LMMSE,0.002083333333,0.004166666667,0.4,540000,1.125,14.2,104.31191,4.632350432,0.883144,0.005181092
210,OTFS (LMMSE),OTFS,LMMSE,0.003125,0.00625,0.48,468000,0.975,13.84,92.690877,6.261815672,0.85964,0.00522084
240,OTFS (LMMSE),OTFS,LMMSE,0.002604166667,0.005208333333,0.48,468000,0.975,14,92.748231,5.88309304,0.87338,0.005487348
270,OTFS (LMMSE),OTFS,LMMSE,0.002083333333,0.004166666667,0.56,396000,0.825,14.04,82.215313,5.723788852,0.82518,0.005282356
300,OTFS (LMMSE),OTFS,LMMSE,0.002083333333,0.004166666667,0.48,468000,0.975,13.84,92.330974,5.79857302,0.833196,0.005419404
0,ODDM (MMSETAP),ODDM,MMSETAP,0.04895833333,0.084375,0.24,682666.6636,1.4222222,12.52,122.22437,20.0367228,18.596644,0.029685932
30,ODDM (MMSETAP),ODDM,MMSETAP,0.0515625,0.09479166667,0.64,323368.4196,0.6736842,10.36,63.261013,30.66766359,16.677032,0.0264581
60,ODDM (MMSETAP),ODDM,MMSETAP,0.1197916667,0.2114583333,0.88,107789.4732,0.2245614,7.2,24.142649,57.65100759,16.73408,0.026853876
90,ODDM (MMSETAP),ODDM,MMSETAP,0.2083333333,0.3583333333,1,0,0,4.6,2.6268546,85.17341198,16.76886,0.026506212
120,ODDM (MMSETAP),ODDM,MMSETAP,0.2822916667,0.475,1,0,0,3.72,0.64618724,101.9495254,20.090036,0.032308964
150,ODDM (MMSETAP),ODDM,MMSETAP,0.3015625,0.50625,1,0,0,3.44,-0.093964811,106.593325,19.645196,0.031845928
