scenario_id,timestamp,split,environment,speed_kmph,snr_db,doppler_hz,carrier_frequency_hz,bandwidth_hz,channel_profile,delay_spread_taps,num_paths,doppler_spread_hz,modulation,detector,waveform,n_trials,BER,SER,PER,throughput_bps,spectral_efficiency,latency_ms,packet_loss,recovery_rate,CQI,ACS
1,2026-08-23 14:50:45,val,Pedestrian,0,-10,0.0,4000000000,480000,EPA,0,7,0.0,4,MRC,OTFS,3,0.373784722222222,0.599305555555556,1.0,0.0,0.0,56.6370333333333,1.0,0.0,2.66666666666667,0.11981212963626
1,2026-08-23 14:50:45,val,Pedestrian,0,-10,0.0,4000000000,480000,EPA,0,7,0.0,4,LMMSE,ODDM,3,0.369791666666667,0.602430555555556,1.0,0.0,0.0,67.6214333333333,1.0,0.0,2.66666666666667,0.115980339455873
2,2026-08-23 14:50:45,train,Pedestrian,0,-10,0.0,4000000000,480000,EPA,0,7,0.0,16,MRC,OTFS,3,0.427951388888889,0.881944444444444,1.0,0.0,0.0,15.1877666666667,1.0,0.0,2.33333333333333,0.131379188180531
2,2026-08-23 14:50:45,train,Pedestrian,0,-10,0.0,4000000000,480000,EPA,0,7,0.0,16,LMMSE,ODDM,3,0.426736111111111,0.913194444444444,1.0,0.0,0.0,57.3675333333333,1.0,0.0,3.33333333333333,0.123806715716069
3,2026-08-23 14:50:46,train,Pedestrian,0,-5,0.0,4000000000,480000,EPA,0,7,0.0,4,MRC,OTFS,3,0.291319444444444,0.482638888888889,1.0,0.0,0.0,10.2252333333333,1.0,0.0,3.0,0.147333817082418
3,2026-08-23 14:50:46,train,Pedestrian,0,-5,0.0,4000000000,480000,EPA,0,7,0.0,4,LMMSE,ODDM,3,0.281423611111111,0.473958333333333,1.0,0.0,0.0,56.7084,1.0,0.0,3.33333333333333,0.131587793603265
4,2026-08-23 14:50:46,val,Pedestrian,0,-5,0.0,4000000000,480000,EPA,0,7,0.0,16,MRC,OTFS,3,0.363802083333333,0.814236111111111,1.0,0.0,0.0,9.71543333333333,1.0,0.0,3.33333333333333,0.146889000302303
4,2026-08-23 14:50:46,val,Pedestrian,0,-5,0.0,4000000000,480000,EPA,0,7,0.0,16,LMMSE,ODDM,3,0.386371527777778,0.901388888888889,1.0,0.0,0.0,58.0055,1.0,0.0,4.0,0.132032419261534
5,2026-08-23 14:50:46,train,Pedestrian,0,0,0.0,4000000000,480000,EPA,0,7,0.0,4,MRC,OTFS,3,0.183506944444444,0.311111111111111,1.0,0.0,0.0,9.48643333333333,1.0,0.0,5.0,0.176048661861863
5,2026-08-23 14:50:46,train,Pedestrian,0,0,0.0,4000000000,480000,EPA,0,7,0.0,4,LMMSE,ODDM,3,0.178472222222222,0.311111111111111,1.0,0.0,0.0,57.6657,1.0,0.0,4.66666666666667,0.152802757299077
6,2026-08-23 14:50:46,val,Pedestrian,0,0,0.0,4000000000,480000,EPA,0,7,0.0,16,MRC,OTFS,3,0.270486111111111,0.694791666666667,1.0,0.0,0.0,14.7674666666667,1.0,0.0,4.33333333333333,0.15987623659268
6,2026-08-23 14:50:46,val,Pedestrian,0,0,0.0,4000000000,480000,EPA,0,7,0.0,16,LMMSE,ODDM,3,0.340625,0.876388888888889,1.0,0.0,0.0,69.3682666666667,1.0,0.0,4.33333333333333,0.133513560042529
7,2026-08-23 14:50:47,train,Pedestrian,0,5,0.0,4000000000,480000,EPA,0,7,0.0,4,MRC,OTFS,3,0.096875,0.171875,1.0,0.0,0.0,10.9344333333333,1.0,0.0,8.66666666666667,0.223587394007066
7,2026-08-23 14:50:47,train,Pedestrian,0,5,0.0,4000000000,480000,EPA,0,7,0.0,4,LMMSE,ODDM,3,0.0914930555555555,0.165972222222222,1.0,0.0,0.0,67.9327666666667,1.0,0.0,8.33333333333333,0.197809791486294
8,2026-08-23 14:50:47,train,Pedestrian,0,5,0.0,4000000000,480000,EPA,0,7,0.0,16,MRC,OTFS,3,0.15390625,0.478472222222222,1.0,0.0,0.0,12.3891666666667,1.0,0.0,6.33333333333333,0.191191035827892
