cond_id,profile,speed_kmph,snr_db,modulation,carrier_hz,doppler_hz,num_paths,delay_spread_taps,doppler_spread_hz,nTrials,label,BER_total,SER_total,PER_mean,Thr_mean,SE_mean,EVM_mean,CQI_mean,SINR_mean,Lat_mean,Run_mean
1,EPA,0,-5,4,4e+09,0,7,0,0,2,OTFS (MRC),0.3552083333,0.575,1,0,0,118.4367109,2.5,-1.413298364,123.0454,0.3063957
1,EPA,0,-5,4,4e+09,0,7,0,0,2,ODDM (LMMSE),0.3395833333,0.5619791667,1,0,0,116.0736297,3,-1.258988235,60.71,0.0815554
2,EPA,0,-5,16,4e+09,0,7,0,0,2,OTFS (MRC),0.401171875,0.8479166667,1,0,0,119.8176552,3,-1.550011313,15.4882,0.02088065
2,EPA,0,-5,16,4e+09,0,7,0,0,2,ODDM (LMMSE),0.4072916667,0.9109375,1,0,0,92.89190982,4,0.6440033846,56.3153,0.0647267
3,EPA,0,0,4,4e+09,0,7,0,0,2,OTFS (MRC),0.2588541667,0.4338541667,1,0,0,99.29524613,3.5,0.2849568978,12.42475,0.01670565
3,EPA,0,0,4,4e+09,0,7,0,0,2,ODDM (LMMSE),0.2479166667,0.4276041667,1,0,0,97.62806019,3.5,0.3877784388,56.6366,0.06500495
4,EPA,0,0,16,4e+09,0,7,0,0,2,OTFS (MRC),0.3180989583,0.7630208333,1,0,0,89.35887815,3.5,1.043553031,10.86725,0.01279285
4,EPA,0,0,16,4e+09,0,7,0,0,2,ODDM (LMMSE),0.3600260417,0.8932291667,1,0,0,82.57519129,4,1.673351094,59.60415,0.0655577
5,EPA,0,5,4,4e+09,0,7,0,0,2,OTFS (MRC),0.1450520833,0.2572916667,1,0,0,68.92997855,5.5,4.317277907,11.0512,0.0126748
5,EPA,0,5,4,4e+09,0,7,0,0,2,ODDM (LMMSE),0.1364583333,0.2473958333,1,0,0,66.44929542,5.5,4.720242973,54.6243,0.0598717
6,EPA,0,5,16,4e+09,0,7,0,0,2,OTFS (MRC),0.2018229167,0.6104166667,1,0,0,60.86287143,5.5,4.407166153,11.8716,0.0137542
6,EPA,0,5,16,4e+09,0,7,0,0,2,ODDM (LMMSE),0.3130208333,0.859375,1,0,0,72.65593269,5,2.781393699,58.01,0.06310965
7,EPA,0,10,4,4e+09,0,7,0,0,2,OTFS (MRC),0.06744791667,0.1255208333,1,0,0,38.93937307,10,14.75431384,10.37595,0.0119463
7,EPA,0,10,4,4e+09,0,7,0,0,2,ODDM (LMMSE),0.06223958333,0.1135416667,1,0,0,38.36115943,10,13.43352067,57.96155,0.0631203
8,EPA,0,10,16,4e+09,0,7,0,0,2,OTFS (MRC),0.08971354167,0.3239583333,1,0,0,37.57727309,8,8.675418494,13.5464,0.01514585
8,EPA,0,10,16,4e+09,0,7,0,0,2,ODDM (LMMSE),0.2609375,0.7734375,1,0,0,65.11022711,5,3.740551371,60.82775,0.06729485
9,EPA,0,15,4,4e+09,0,7,0,0,2,OTFS (MRC),0.01276041667,0.025,0.5,450000,0.9375,15.97524126,11.5,84.95522579,15.8574,0.0176536
9,EPA,0,15,4,4e+09,0,7,0,0,2,ODDM (LMMSE),0.0109375,0.02135416667,0.5,449122.807,0.9356725146,14.79019946,12,85.28995973,63.67035,0.07011545
10,EPA,0,15,16,4e+09,0,7,0,0,2,OTFS (MRC),0.01848958333,0.07291666667,1,0,0,15.0542238,12.5,18.14094732,13.8515,0.01592965
