scenario_id,environment,speed_kmph,snr_db,channel_profile,modulation,carrier_frequency_hz,split,doppler_hz,delay_spread_taps,num_paths,OTFS_label,OTFS_BER,OTFS_throughput,OTFS_CQI,OTFS_SE,OTFS_ACS,ODDM_label,ODDM_BER,ODDM_throughput,ODDM_CQI,ODDM_SE,ODDM_ACS,best_by_BER,best_by_ACS,best_waveform,rel_gap_BER,gap_ACS
1,Pedestrian,0,-10,EPA,4,4000000000,val,0.0,0,7,OTFS (MRC),0.373784722222222,0,2.66666666666667,0.0,0.11981212963626,ODDM (LMMSE),0.369791666666667,0.0,2.66666666666667,0.0,0.115980339455873,ODDM,OTFS,tie,0.0107981220657276,0.0038317901803876
2,Pedestrian,0,-10,EPA,16,4000000000,train,0.0,0,7,OTFS (MRC),0.427951388888889,0,2.33333333333333,0.0,0.131379188180531,ODDM (LMMSE),0.426736111111111,0.0,3.33333333333333,0.0,0.123806715716069,ODDM,OTFS,tie,0.0028478437754272,0.0075724724644621
3,Pedestrian,0,-5,EPA,4,4000000000,train,0.0,0,7,OTFS (MRC),0.291319444444444,0,3.0,0.0,0.147333817082418,ODDM (LMMSE),0.281423611111111,0.0,3.33333333333333,0.0,0.131587793603265,ODDM,OTFS,tie,0.0351634793337446,0.0157460234791524
4,Pedestrian,0,-5,EPA,16,4000000000,val,0.0,0,7,OTFS (MRC),0.363802083333333,0,3.33333333333333,0.0,0.146889000302303,ODDM (LMMSE),0.386371527777778,0.0,4.0,0.0,0.132032419261534,OTFS,OTFS,tie_otfs,0.0620376998329754,0.0148565810407695
5,Pedestrian,0,0,EPA,4,4000000000,train,0.0,0,7,OTFS (MRC),0.183506944444444,0,5.0,0.0,0.176048661861863,ODDM (LMMSE),0.178472222222222,0.0,4.66666666666667,0.0,0.152802757299077,ODDM,OTFS,tie,0.0282101167315174,0.0232459045627861
6,Pedestrian,0,0,EPA,16,4000000000,val,0.0,0,7,OTFS (MRC),0.270486111111111,0,4.33333333333333,0.0,0.15987623659268,ODDM (LMMSE),0.340625,0.0,4.33333333333333,0.0,0.133513560042529,OTFS,OTFS,OTFS,0.259306803594352,0.0263626765501506
7,Pedestrian,0,5,EPA,4,4000000000,train,0.0,0,7,OTFS (MRC),0.096875,0,8.66666666666667,0.0,0.223587394007066,ODDM (LMMSE),0.0914930555555555,0.0,8.33333333333333,0.0,0.197809791486294,ODDM,OTFS,tie,0.0588235294117648,0.0257776025207718
8,Pedestrian,0,5,EPA,16,4000000000,train,0.0,0,7,OTFS (MRC),0.15390625,0,6.33333333333333,0.0,0.191191035827892,ODDM (LMMSE),0.291493055555556,0.0,5.0,0.0,0.143183321859868,OTFS,OTFS,OTFS,0.893965031020869,0.0480077139680242
9,Pedestrian,0,10,EPA,4,4000000000,train,0.0,0,7,OTFS (MRC),0.0449652777777778,300000,11.6666666666667,0.625,0.433134028724177,ODDM (LMMSE),0.0414930555555556,299415.204678363,11.6666666666667,0.623781676413255,0.41288836076366,ODDM,OTFS,tie,0.0836820083682009,0.0202456679605165
10,Pedestrian,0,10,EPA,16,4000000000,train,0.0,0,7,OTFS (MRC),0.0620659722222222,0,9.66666666666667,0.0,0.242718270510287,ODDM (LMMSE),0.190017361111111,0.0,6.33333333333333,0.0,0.16827423599734,OTFS,OTFS,OTFS,2.06153846153846,0.074444034512947
