Waveform,Environment,Speed_kmh,DelayProfile,DelaySpread,NumPaths,DopplerSpread,Modulation,Detector,SNR_dB,BER,SER,PER,EVM_percent,SINR_est_dB,CQI,Throughput_bps,SpectralEfficiency_bps_per_Hz,Runtime_sec,AvgIterations,ScenarioID,Category,FocusMode,CondID,TrialIdx,Timestamp
OTFS,Pedestrian,3,EPA,0,7,0.02369597364,4,MRC,0,0.02552083333,0.05104166667,1,31.9505,9.91045,8,0,0,0.266578,50,1,LowMobility,0,1,1,2026-08-22 18:57:16
OTFS,Pedestrian,3,EPA,0,7,0.02369597364,4,LMMSE,0,0.02604166667,0.05208333333,1,32.2749,9.82271,8,0,0,0.0152231,1,1,LowMobility,0,1,1,2026-08-22 18:57:16
ODDM,Pedestrian,3,EPA,0,7,0.02369597364,4,MMSETAP,0,0.021875,0.04375,1,29.5804,10.5799,9,0,0,0.0457283,1,1,LowMobility,0,1,1,2026-08-22 18:57:16
ODDM,Pedestrian,3,EPA,0,7,0.02369597364,4,LMMSE,0,0.02135416667,0.04270833333,1,29.2261,10.6846,9,0,0,0.0789141,1,1,LowMobility,0,1,1,2026-08-22 18:57:16
OFDM,Pedestrian,3,EPA,0,7,0.02369597364,4,MMSETAP,0,0.01875,0.0375,1,27.3861,11.2494,9,0,0,0.0308803,1,1,LowMobility,0,1,1,2026-08-22 18:57:16
OFDM,Pedestrian,3,EPA,0,7,0.02369597364,4,LMMSE,0,0.01875,0.0375,1,27.3861,11.2494,9,0,0,0.0113008,1,1,LowMobility,0,1,1,2026-08-22 18:57:16
OTFS,Pedestrian,3,EPA,0,7,0.02133777058,4,MRC,0,0.2395833333,0.4177083333,1,97.8945,0.184834,3,0,0,0.0239846,50,2,LowMobility,0,1,2,2026-08-22 18:57:16
OTFS,Pedestrian,3,EPA,0,7,0.02133777058,4,LMMSE,0,0.2401041667,0.41875,1,98.0009,0.175403,3,0,0,0.0038854,1,2,LowMobility,0,1,2,2026-08-22 18:57:16
ODDM,Pedestrian,3,EPA,0,7,0.02133777058,4,MMSETAP,0,0.2302083333,0.4010416667,1,95.9601,0.35819,4,0,0,0.0220058,1,2,LowMobility,0,1,2,2026-08-22 18:57:16
ODDM,Pedestrian,3,EPA,0,7,0.02133777058,4,LMMSE,0,0.2296875,0.3989583333,1,95.8514,0.368026,4,0,0,0.0651695,1,2,LowMobility,0,1,2,2026-08-22 18:57:16
OFDM,Pedestrian,3,EPA,0,7,0.02133777058,4,MMSETAP,0,0.2411458333,0.428125,1,98.2132,0.156602,3,0,0,0.0055639,1,2,LowMobility,0,1,2,2026-08-22 18:57:16
OFDM,Pedestrian,3,EPA,0,7,0.02133777058,4,LMMSE,0,0.240625,0.4270833333,1,98.1071,0.165993,3,0,0,0.0095498,1,2,LowMobility,0,1,2,2026-08-22 18:57:16
OTFS,Pedestrian,3,EPA,0,7,0.02369127224,4,MRC,0,0.4640625,0.6989583333,1,136.244,-2.68636,2,0,0,0.0192592,50,3,LowMobility,0,1,3,2026-08-22 18:57:16
OTFS,Pedestrian,3,EPA,0,7,0.02369127224,4,LMMSE,0,0.4703125,0.7083333333,1,137.159,-2.74447,2,0,0,0.00328,1,3,LowMobility,0,1,3,2026-08-22 18:57:16
ODDM,Pedestrian,3,EPA,0,7,0.02369127224,4,MMSETAP,0,0.4515625,0.6854166667,1,134.397,-2.56778,2,0,0,0.027299,1,3,LowMobility,0,1,3,2026-08-22 18:57:16
