target,model,val_MAE,val_RMSE,val_R2
Log10BER,RandomForest,0.1934954908059699,0.7904917832229572,0.9201910364805576
Log10BER,GradientBoosting,0.41018546582816057,0.819431972623907,0.9142403971481996
Log10BER,DecisionTree,0.24824493340137924,1.150795537417712,0.8308572883359707
Log10BER,*BEST:RandomForest*,,,0.9201910364805576
Throughput,RandomForest,37913.5973272414,110491.5073472809,0.8507100718754036
Throughput,GradientBoosting,72992.92423949056,139882.32620918963,0.7607244054294828
Throughput,DecisionTree,45867.106984362144,167670.77557790527,0.6562145764837367
Throughput,*BEST:RandomForest*,,,0.8507100718754036
CQI,RandomForest,0.3015454545454545,0.5484200651883886,0.9829797396214319
CQI,GradientBoosting,0.4301420835144914,0.6394505643199087,0.9768605262627046
CQI,DecisionTree,0.34545454545454474,0.6726999721460133,0.974391605767917
CQI,*BEST:RandomForest*,,,0.9829797396214319
ACS,RandomForest,0.023121622928496687,0.053404060136092384,0.9513920759763371
ACS,GradientBoosting,0.03522521743609471,0.06289552950038041,0.9325785519039848
ACS,DecisionTree,0.026993310607367767,0.06560923895999034,0.9266350677002245
ACS,*BEST:RandomForest*,,,0.9513920759763371
PER,RandomForest,0.03196969696969693,0.08804797947206601,0.9138177373984847
PER,GradientBoosting,0.055612314830893156,0.10925499643941615,0.8673028126280342
PER,DecisionTree,0.042424242424242455,0.12712834523274574,0.8203348305430787
PER,*BEST:RandomForest*,,,0.9138177373984847
SE,RandomForest,0.07917160010250723,0.22850486929460984,0.8528886756776681
SE,GradientBoosting,0.1520685921656055,0.2914881213210411,0.7606150134891587
SE,DecisionTree,0.08401337940811617,0.2822858389143526,0.775491198767746
SE,*BEST:RandomForest*,,,0.8528886756776681
