Target,Model,R2,MAE,RMSE,ExplainedVariance,MAPE_pct,n_test,Selected
BER,RandomForest,0.9837832992030798,0.01153039991591655,0.019540073326913494,0.9838508240581646,235371.69533457936,1008,True
BER,GradientBoosting,-169.88822598109928,0.12759531972307606,2.0058618008013887,-169.59651494268618,63231.10931153246,1008,False
BER,DecisionTree,0.9773425292350524,0.013699956354850844,0.023096738181293902,0.9773572747782531,283570.8683267994,1008,False
SER,RandomForest,0.9874559562095715,0.022214711703870384,0.04235562407185635,0.9875167881515714,786213.2764515673,1008,True
SER,GradientBoosting,-3.055011491147969,0.1553970751939263,0.7615323360044862,-3.034508000978592,162504.3162990767,1008,False
SER,DecisionTree,0.9824608476767954,0.02578307052630678,0.05008372292562217,0.9824673424699351,1011284.4386383891,1008,False
PER,RandomForest,0.9438316526168615,0.028955938523323434,0.07513847597708022,0.9456254373926785,8817399.298288152,1008,True
PER,GradientBoosting,-159.94860043111652,0.4718887743143112,4.02216758198575,-159.5835841767092,4802185.605916816,1008,False
PER,DecisionTree,0.9358465960133241,0.030158730664682536,0.08030200918141112,0.9363263756481431,17857149.070530895,1008,False
Throughput_bps,RandomForest,0.9345297120490403,82118.43253968254,223797.5785514137,0.9351201604023303,109414682539677.61,1008,True
Throughput_bps,GradientBoosting,0.8755080785932687,194282.36243642418,308605.6284875084,0.8762299334887329,746782413444109.1,1008,False
Throughput_bps,DecisionTree,0.8998234874404452,95095.23809523809,276831.9500553153,0.9007291207707393,102142857142863.48,1008,False
SpectralEfficiency_bps_per_Hz,RandomForest,0.9345524708926775,0.08552449156746031,0.23308195500731288,0.9351379796397775,114729657.7755142,1008,True
SpectralEfficiency_bps_per_Hz,GradientBoosting,0.8755320416898144,0.2023286078912376,0.32143325598688494,0.8762567807305953,777898309.7606813,1008,False
SpectralEfficiency_bps_per_Hz,DecisionTree,0.9041181150737814,0.09665178571428572,0.2821176816236838,0.9049382142646571,106398815.81553909,1008,False
CQI,RandomForest,0.9725337592378309,0.35495535714285714,0.7057508263871947,0.9725611733868086,5.0574591459760105,1008,True
CQI,GradientBoosting,0.961753719274931,0.6080423387277406,0.8328108761214392,0.961828972268229,9.535964676384005,1008,False
CQI,DecisionTree,0.9622527784114027,0.36904761904761907,0.8273595406616217,0.9622744871884837,5.29598350282874,1008,False
